fid,SAMNumber,Name,Period,SiteType,Report,lon,lat
"4957",CM339     ,Banc Maes-yr-Haidd barrows                                                                                                                            ,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4144,"-3.90439172499582","52.0692901258312"
"4958",CM343     ,"Nant Gwyn, round cairn and standing stone to S of                                                                                                     ",Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4145,"-3.76194195162775","52.072657402535"
"4959",CM344     ,"Bryn-Poeth-Uchaf, ring cairn to NE of                                                                                                                 ",Prehistoric,Ring Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4146,"-3.7541064434533","52.0840083905046"
"4960",GM585,Corntown causewayed enclosure,Prehistoric,Causewayed Enclosure,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4147,"-3.54769636987439","51.476404283786"
"4961",MM333     ,Foresters' Oaks round barrow                                                                                                                          ,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4148,"-2.82548954944103","51.64271614934"
"4962",CM342     ,Carn Twrch round cairn                                                                                                                                ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4149,"-3.74845610566971","52.1020644428265"
"4963",CM341     ,Cerrig Cedny round cairn                                                                                                                              ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4150,"-3.75136914257796","52.1039712586027"
"4964",CM345     ,"Bryn-Poeth-Uchaf, ring cairn to ESE of                                                                                                                ",Prehistoric,Ring Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4151,"-3.75163152328915","52.0800251540017"
"4965",CM340     ,Carn Wen round cairn                                                                                                                                  ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4152,"-3.75557783582978","52.0927386146166"
"4966",CN380     ,Cegin Viaduct (Penrhyn Railroad)                                                                                                                      ,Post Medieval/Modern,Viaduct,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4153,"-4.10981110697992","53.2298464236264"
"4967",CM347     ,Tomen y Rhos round cairn                                                                                                                              ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4154,"-3.73528019350821","51.9543288356719"
"4968",CM353     ,Troedrhiwhir standing stone                                                                                                                           ,Prehistoric,Standing Stone,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4155,"-3.81937635185024","52.1096547424267"
"4969",GM586     ,Carn Castell y Meibion ring cairn                                                                                                                     ,Prehistoric,Ring Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4156,"-3.39786488667745","51.7184748678221"
"4970",CM346     ,Mynydd Myddfai ring cairn                                                                                                                             ,Prehistoric,Ring Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4157,"-3.73100330188038","51.9563297622413"
"4971",CM349     ,"Mynydd Myddfai, ring cairns on W end of                                                                                                               ",Prehistoric,Ring Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4158,"-3.75495842869032","51.9455336147933"
"4972",MG312     ,Moel Eiddew platform cairn                                                                                                                            ,Prehistoric,Platform Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4217,"-3.67789588234229","52.631932042487"
"4973",CM348     ,Mynydd Myddfai round barrow                                                                                                                           ,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4159,"-3.73856228166084","51.9526453403296"
"4974",CM350     ,Pen Caenewydd ring cairn                                                                                                                              ,Prehistoric,Ring Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4160,"-3.7593826951976","51.9462606527152"
"4975",RD248     ,Domen-ddu round barrows                                                                                                                               ,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4218,"-3.44617006358012","52.3936200452557"
"4976",CM351     ,Mynydd Myddfai round cairn                                                                                                                            ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4161,"-3.75037429675583","51.943322388838"
"4977",CN381,St Mary's Church,Medieval,Church,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4162,"-4.76119106469553","52.7933948057965"
"4978",CN386     ,"Fach-goch, standing stone to SSE of                                                                                                                   ",Prehistoric,Standing Stone,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4163,"-4.13217210426334","52.9486076236234"
"4979",CM354     ,Cwm Twrch settlement                                                                                                                                  ,Post Medieval/Modern,Building (Unclassified),http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4164,"-3.78634290759332","51.8258567110367"
"4980",CN384     ,"Tyddyn Mawr, standing stone to SSW of                                                                                                                 ",Prehistoric,Standing Stone,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4165,"-4.3383500162258","52.9743066040226"
"4981",CN383,"Yr Eifl, cairn on NW summit of",Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4166,"-4.44286939563348","52.9838425645995"
"4982",BR319     ,Wern Frank Wood round cairn                                                                                                                           ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4191,"-3.17438222932045","51.9909202993152"
"4983",ME247     ,Nant Helygog ring cairn                                                                                                                               ,Prehistoric,Ring Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4167,"-3.77698973834374","52.751438049858"
"4984",CN385     ,Cwm Llefrith cairn                                                                                                                                    ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4168,"-4.16270766572169","53.0033177035934"
"4985",CM355     ,Cwm Twrch settlement and limekiln                                                                                                                     ,Post Medieval/Modern,Building (Unclassified),http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4169,"-3.78481637679715","51.8374468358163"
"4986",CM356     ,Carn Fadog round cairn                                                                                                                                ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4170,"-3.78879490051103","51.8399554188105"
"4987",CN387     ,Garnedd-goch round cairn                                                                                                                              ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4171,"-4.22114764469861","53.022233031641"
"4988",AN150     ,Werthyr standing stone                                                                                                                                ,Prehistoric,Standing Stone,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4172,"-4.38562783823255","53.4087636012269"
"4989",AN147     ,Gogarth Bay round cairn                                                                                                                               ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4173,"-4.68214861391389","53.3115874974185"
"4990",CN389     ,Mynydd Graig Goch round cairn                                                                                                                         ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4174,"-4.23874874206138","53.0113591927121"
"4991",AN148     ,Trwyn Du round cairn,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4175,"-4.46728431932867","53.1824819028863"
"4992",AN149,Mynydd Bach round cairn,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4176,"-4.50445167347171","53.2084670507398"
"4993",BR301     ,Great Oak Road standing stone                                                                                                                         ,Prehistoric,Standing Stone,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4177,"-3.13153055878163","51.8593172329114"
"4994",BR317     ,"Bwlch Bach a'r Grib, round cairn to SW of                                                                                                             ",Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4192,"-3.18776510132432","51.9690617760803"
"4995",AN151     ,"Plas Bodafon, standing stone to WNW of                                                                                                                ",Prehistoric,Standing Stone,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4178,"-4.28927290963576","53.3445830322267"
"4996",BR302     ,Darren ring cairn                                                                                                                                     ,Prehistoric,Ring Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4179,"-3.14545635659221","51.8851702072578"
"4997",BR303     ,"Pen Cerrig-calch, cairn on S side of                                                                                                                  ",Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4180,"-3.13845965289546","51.8931215635712"
"4998",BR304     ,"Pen Cerrig-calch, cairn on NW side of                                                                                                                 ",Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4181,"-3.1400097537131","51.8947713616612"
"4999",BR310     ,Maes Clythan Wood cairn                                                                                                                               ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4182,"-3.22064066950767","51.911980044478"
"5000",BR316     ,Bwlch Bach a'r Grib round cairn                                                                                                                       ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4193,"-3.18500476724915","51.9697368674671"
"5001",CM357     ,Pont Clydach settlement                                                                                                                               ,Post Medieval/Modern,Building (Unclassified),http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4194,"-3.83357684486233","51.8616138821012"
"5002",BR320     ,Mynydd Bychan platform cairn                                                                                                                          ,Prehistoric,Platform Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4195,"-3.17098346906197","51.9808898980364"
"5003",CM358     ,Cwm Clydach settlement                                                                                                                                ,Post Medieval/Modern,Building (Unclassified),http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4196,"-3.8274799852137","51.8557749281564"
"5004",CM362     ,Mynydd Llansadwrn ring cairn                                                                                                                          ,Prehistoric,Ring Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4197,"-3.91246016273355","51.9943834499635"
"5005",CM365     ,Bryn Bedd round barrow                                                                                                                                ,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4198,"-3.94164376093946","52.1091404658292"
"5006",CM360     ,Nantiwrch round barrow                                                                                                                                ,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4200,"-3.88172539861085","52.0384897024452"
"5007",CM363     ,Craig Twrch round cairn                                                                                                                               ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4201,"-3.9570298845798","52.1240566591307"
"5008",CM364     ,Carn Nant-yr-ast round cairn                                                                                                                          ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4202,"-3.86986111546306","52.1286402746561"
"5009",MM334     ,Church Farm Romano-British settlement                                                                                                                 ,Roman,Enclosure,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4203,"-2.74975784258912","51.5992773414182"
